state,district,constituency,constituency_hi,constituency_kn,region_type,population,registered_voters,male_voters,female_voters,youth_voters,senior_voters,literacy_rate,transport_accessibility,awareness_score,weather_score,campaign_intensity,holiday_factor,historical_turnout,turnout_9am,turnout_11am,turnout_1pm,turnout_3pm,turnout_5pm,current_turnout,participation_momentum,risk_level,actual_final_turnout
Andhra Pradesh,Anantapur,Anantapur Assembly,Anantapur Assembly,Anantapur Assembly,Rural,311932,195169,100066,95103,63148,22785,64.6,39,61,79,48,0,71.43,12.91,32.95,44.69,56.85,64.57,56.85,Declining,Low,71.71
Andhra Pradesh,Chittoor,Chittoor Assembly,Chittoor Assembly,Chittoor Assembly,Rural,336730,220888,118919,101969,83125,22964,64.45,45,79,73,66,1,68.4,12.66,31.98,43.39,54.43,63.11,54.43,Declining,Low,70.05
Andhra Pradesh,East Godavari,East Godavari Assembly,East Godavari Assembly,East Godavari Assembly,Urban,432801,301139,157976,143163,77418,36049,73.55,75,75,56,77,0,60.19,14.58,27.34,39.54,49.76,57.3,49.76,Declining,Low,61.23
Andhra Pradesh,Guntur,Guntur Assembly,Guntur Assembly,Guntur Assembly,Urban,220397,138285,74456,63829,39486,15670,77.34,72,81,78,37,0,67.83,15.41,30.74,40.31,53.4,62.48,53.4,Declining,Low,68.89
Andhra Pradesh,Krishna,Krishna Assembly,Krishna Assembly,Krishna Assembly,Urban,210535,139568,74901,64667,40741,18162,83.65,60,77,45,76,1,67.37,12.35,26.42,37.07,50.86,57.66,50.86,Stable,Medium,63.6
Andhra Pradesh,Kurnool,Kurnool Assembly,Kurnool Assembly,Kurnool Assembly,Rural,433618,262078,135685,126393,74432,31584,77.52,56,52,62,72,0,67.27,15.87,30.19,42.02,54.59,63.82,54.59,Declining,Low,67.31
Andhra Pradesh,Nellore,Nellore Assembly,Nellore Assembly,Nellore Assembly,Rural,622141,450218,238007,212211,115747,50144,77.51,71,54,61,54,0,78.28,15.36,32.46,46.33,59.92,73.08,59.92,Declining,Low,78.29
Andhra Pradesh,Prakasam,Prakasam Assembly,Prakasam Assembly,Prakasam Assembly,Rural,493149,362982,183783,179199,99910,43497,67.81,62,88,71,66,0,71.86,14.68,33.24,47.81,57.87,71.24,57.87,Declining,Low,75.49
Andhra Pradesh,Srikakulam,Srikakulam Assembly,Srikakulam Assembly,Srikakulam Assembly,Rural,625299,461270,242647,218623,163428,63609,65.41,83,66,68,74,0,74.05,15.85,32.02,50.96,61.38,73.47,61.38,Declining,Low,78.91
Andhra Pradesh,Visakhapatnam,Visakhapatnam Assembly,Visakhapatnam Assembly,Visakhapatnam Assembly,Urban,312874,202663,108634,94029,74875,28907,77.13,89,76,93,97,0,66.54,14.82,31.13,46.66,60.11,70.5,60.11,Declining,Low,73.96
